Supplier Name,Status,Score,Line Of Business,Supplier Number,Services,BuildingNm,Street1Addr,Street2Addr,Street3Addr,CityNm,GeographicLocationCd,CountryCd,PostalCd,TelephoneNum,AddressTypeTp,CreBy,CreDttm,SupplierNm,SupplierTypeCd,EmployeesQty,NatureOfBusinessOrServicesTxt,FirmLegalNm,Operated_Under_Other_Business_,OtherBusinessNm,Subsidiary_Affiliate_Firm_,AffiliatesNm,Legal_Query_,LegalQueryDetailsTxt,IncorporationYr,IncorporationCountryCd,CompanyWebsiteUrl
ELLICO TRADING AND SERVICES LIMITED,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLWBJ112683,Technology Company ,,14 Murray Street,WoodBrook,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,18687235280,,ellicodan@outlook.com,30/10/2023 3:23:29 PM,ELLICO TRADING AND SERVICES LIMITED,LIMITED LIABILITY,0,Technology Company ,ELLICO TRADING AND SERVICES LIMITED,NO,,NO,,NO,,2022,TRINIDAD AND TOBAGO,
PREMIUM COMPUTER SOLUTIONS LIMITED ,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLFUG116558,"Computer Sales, Parts, Networking & Services ",PREMIUM COMPUTER SOLUTIONS LTD,125 Union Road ,,,MARABELLA,NOT APPLICABLE,TRINIDAD AND TOBAGO,00000,384-8604,PRIMARY,knagir@rogers.com,09/11/2023 12:56:49 PM,PREMIUM COMPUTER SOLUTIONS LIMITED ,LIMITED LIABILITY,4,"Computer Sales, Parts, Networking & Services ",PREMIUM COMPUTER SOLUTIONS LIMITED ,NO,,NO,,NO,,2004,TRINIDAD AND TOBAGO,www.computerpcs.com
D'NEXUS ENTERTAINMENT & RESEARCH CENTRE LTD,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLKPQ107513,"ICT, Networking and Electronic Security Company",BOBTAIL BUILDING,Unit #1 Smithfield plaza,Bobtail Building,Smithfield Trace,SCARBOROUGH,TOBAGO,TRINIDAD AND TOBAGO,000000,8686318385,PRIMARY,atkins_trevor@hotmail.com,08/08/2023 1:44:15 PM,D'NEXUS ENTERTAINMENT & RESEARCH CENTRE LTD,LIMITED LIABILITY,4,"ICT, Networking and Electronic Security Company",D'NEXUS ENTERTAINMENT & RESEARCH CENTRE LTD,NO,,NO,,NO,,2005,TRINIDAD AND TOBAGO,https://dnexusltd.com/
RYAN OEMAR,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",SPFIM108358,"We provide services such as structured cabling such as networking infrastructure, supply and installation of all computer hardware and software.
Supply, installation and configuration of all network and security devices such as switches, routers and firewalls.
Provision of both single and multimode fiber solutions.
We supply consumables such as toners, ink, cartridges, batteries, networking cables.
Installation of surveillance systems",,,,,,,,,,,ilctt.sales@gmail.com,06/07/2023 10:51:13 AM,RYAN OEMAR,SOLE PROPRIETORSHIP,7,"We provide services such as structured cabling such as networking infrastructure, supply and installation of all computer hardware and software.
Supply, installation and configuration of all network and security devices such as switches, routers and firewalls.
Provision of both single and multimode fiber solutions.
We supply consumables such as toners, ink, cartridges, batteries, networking cables.
Installation of surveillance systems",INFOSECTT LOGISTICS & CONSULTANCY,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,www.infosectt.com
CCSM TECHNOLOGIES,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",SPMEP109660,INFORMATION TECHNOLOGY SERVICES AND SUPPLIES,,ROCHARD DOUGLAS ROAD,BARRACKPORE,,BARRACKPORE,PRINCES TOWN REGIONAL CORPORATION,TRINIDAD AND TOBAGO,1868,1868-482-2204,MAILING,craigrampersad92@gmail.com,13/06/2023 7:25:44 PM,CCSM TECHNOLOGIES,SOLE PROPRIETORSHIP,5,INFORMATION TECHNOLOGY SERVICES AND SUPPLIES,CCSM TECHNOLOGIES,NO,,NO,,NO,,2023,TRINIDAD AND TOBAGO,
DIAMOND INTERIORS LTD,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLWMA105545,"DESIGNS, INTERIORS CONSTRUCTION & OUTFITTING, FURNITURE & STATIONERY SUPPLY",,"#3 REDMAN LANE, DON MIGUEL ROAD,",,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,W.I,773-7288,PRIMARY,info.diamondinteriorsco@gmail.com,10/05/2023 12:32:51 PM,DIAMOND INTERIORS LTD,LIMITED LIABILITY,5,"DESIGNS, INTERIORS CONSTRUCTION & OUTFITTING, FURNITURE & STATIONERY SUPPLY",DIAMOND INTERIORS LIMITED,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,under construction
STREAMLINE SYSTEMS CO. LTD.,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLDVV100061,"Supply & Installation of Audio Visual, Networking, Video Conferencing, Computer, Lighting, Security Systems, CCTV, Access Control and power conditioning equipment .",,Corner Persad Lane & El Socorro Rd.,,,EL SOCORRO,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8686755625,PRIMARY,cliffordb@streamlinesystemsltd.com,15/12/2023 4:07:02 PM,STREAMLINE SYSTEMS CO. LTD.,LIMITED LIABILITY,9,"Supply & Installation of Audio Visual, Networking, Video Conferencing, Computer, Lighting, Security Systems, CCTV, Access Control and power conditioning equipment .",STREAMLINE SYSTEMS CO. LTD.,NO,,NO,,NO,,2007,TRINIDAD AND TOBAGO,www.streamlinesystemsltd.com
BLIZZ CORE TECHNOLOGY,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLYNQ104144,"Supplier of Computer Supplies, Printers, Printing Supplies, and Accessories.",,,,,,,,,,,ishaq.ghanny@blizzcoretechnology.com,10/10/2023 4:12:52 PM,BLIZZ CORE TECHNOLOGY,LIMITED LIABILITY,10,"Supplier of Computer Supplies, Printers, Printing Supplies, and Accessories.",BLIZZ CORE TECHNOLOGY LIMITED,NO,,NO,,NO,,2008,TRINIDAD AND TOBAGO,www.blizzcoretechnology.com
COMUTECH INNOVATIVE NETWORK DESIGN LTD ,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLHIG113392,ICT Services and equipment ,,2708 PINE GARDENS,CLEAR WATER,,RIO CLARO,MAYARO/RIO CLARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,868 678 7773,,rondell@comutechtt.com,11/08/2023 9:13:27 AM,COMUTECH INNOVATIVE NETWORK DESIGN LTD ,LIMITED LIABILITY,20,ICT Services and equipment ,COMUTECH INNOVATIVE NETWORK DESIGN LTD ,NO,,NO,,NO,,2011,TRINIDAD AND TOBAGO,www.comutechtt.com
CROSS CONNECTION TECHNOLOGY,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",SPYKD105183,"Providing technology, media and entertainment services among others ",,53 Abdool Ghany Street Aranguez,,,ARANGUEZ,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,8682939625,PRIMARY,marsh.walters@gmail.com,20/05/2024 12:00:14 PM,CROSS CONNECTION TECHNOLOGY,SOLE PROPRIETORSHIP,100,"Providing technology, media and entertainment services among others ",CROSS CONNECTION TECHNOLOGY,NO,,NO,,NO,,,,
129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLRHV106550,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",,# 95 SMR EDINBURGH CHAGUANAS,,,CHAGUANAS,CHAGUANAS BOROUGH CORPORATION,TRINIDAD AND TOBAGO,-,+18683332696,PRIMARY,anisakhan@129marketing.com,02/07/2024 11:44:37 AM,129 MARKETING AND DISTRIBUTION SERVICES LIMITED,LIMITED LIABILITY,50,"JANITORIAL EQUIPMENT AND CONSUMABLES , CHEMICALS, COMPUTER, PARTS AND OFFICE CONSUMABLES",129 MARKETING AND DISTRIBUTION SERVICES LIMITED,NO,,NO,,NO,,2012,TRINIDAD AND TOBAGO,www.129marketing.com
DSM SALES AND MARKETING LIMITED,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLGBV105267,"GENERAL SUPPLIES, PERSONAL PROTECTIVE EQUIPMENT, INDUSTRIAL SUPPLIES, JANITORIAL SUPPLIES, OILFIELD SUPPLIES, HARDWARE SUPPLIES,TOOLS,MECHANICAL, SUPPLIES,WORKWEAR,LUBRICANTS,EMBROIDERY, PRINTING, SCREEN PRINTING, MANUFACTURERS OF INDUSTRIAL  GARMENT, ETC",DSM SALES AND MARKETING LIMITED,LP 237 IERE VILLAGE,PRINCES TOWN,,PRINCES TOWN,PRINCES TOWN REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,655-2288,MAILING,stein@dsm-tt.com,18/07/2024 10:41:04 AM,DSM SALES AND MARKETING LIMITED,LIMITED LIABILITY,35,"GENERAL SUPPLIES, PERSONAL PROTECTIVE EQUIPMENT, INDUSTRIAL SUPPLIES, JANITORIAL SUPPLIES, OILFIELD SUPPLIES, HARDWARE SUPPLIES,TOOLS,MECHANICAL, SUPPLIES,WORKWEAR,LUBRICANTS,EMBROIDERY, PRINTING, SCREEN PRINTING, MANUFACTURERS OF INDUSTRIAL  GARMENT, ETC",DSM SALES AND MARKETING LIMITED,NO,,NO,,NO,,2006,TRINIDAD AND TOBAGO,www.dsm-tt.com
CARIBBEAN ELECTRONICS LTD (CARIBEL),NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLLEN103482,SALES AND SERVICE OF TELECOMMUNICATION EQUIPMENT,,7A HOBSON STREET,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,6524982,,info@caribel.com,18/07/2024 2:19:00 PM,CARIBBEAN ELECTRONICS LTD (CARIBEL),LIMITED LIABILITY,25,SALES AND SERVICE OF TELECOMMUNICATION EQUIPMENT,CARIBBEAN ELECTRONICS LTD,NO,CARIBEL,NO,,NO,,1966,TRINIDAD AND TOBAGO,www.caribel.com
ZANTECH LTD,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLTUK104417,"BUSINESS EQUIPMENT RETAIL & WHOLWSALE AND SECURITY EQUIPMENT INSTALLATION, RETAIL & WHOLESALE",,34 Richmond Street,,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,00000,18686251041,PRIMARY,previn.reid@zantechtt.co,04/07/2024 3:46:56 PM,ZANTECH LTD,LIMITED LIABILITY,50,"BUSINESS EQUIPMENT RETAIL & WHOLWSALE AND SECURITY EQUIPMENT INSTALLATION, RETAIL & WHOLESALE",ZANTECH LTD,NO,,NO,,NO,,2013,TRINIDAD AND TOBAGO,
FIVE 9'S SOLUTIONS LTD,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLEAL100306,"OUR PRINCIPAL ACTIVITIES INCLUDE DESIGNING, PROCURING, PROJECT MANAGING AND MAINTAINING ICT AND RELATED SOLUTIONS AS WELL AS PROVIDING A WIDE VARIETY OF VALUE-ADDED SUPPORT SERVICES TO GOVERNMENT MINISTRIES AND DEPARTMENTS",,38A SANDHURST STREET,BELMONT,,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,240805,751-7614,PRIMARY,ayanna@five9ss.com,20/06/2024 12:05:55 PM,FIVE 9'S SOLUTIONS LTD,LIMITED LIABILITY,13,"OUR PRINCIPAL ACTIVITIES INCLUDE DESIGNING, PROCURING, PROJECT MANAGING AND MAINTAINING ICT AND RELATED SOLUTIONS AS WELL AS PROVIDING A WIDE VARIETY OF VALUE-ADDED SUPPORT SERVICES TO GOVERNMENT MINISTRIES AND DEPARTMENTS",FIVE 9'S SOLUTIONS LTD,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,https://five9ss.com/
PC SYSTEMS LIMITED ,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",OTXEG101990,"Sale of Computer Hardware and Accessories, Software, Networking and Wireless Solutions, Office Equipment and Accessories, Office Equipment Repairs and Maintenance, IT Services.",PC SYSTEMS LTD,#43 Ariapita Avenue,Woodbrook,Port of Spain,PORT OF SPAIN,PORT OF SPAIN CITY CORPORATION,TRINIDAD AND TOBAGO,10,868-625-7854,PRIMARY,Kristi.lewis@pcsystemstt.com,11/04/2024 8:47:58 AM,PC SYSTEMS LIMITED ,OTHER,8,"Sale of Computer Hardware and Accessories, Software, Networking and Wireless Solutions, Office Equipment and Accessories, Office Equipment Repairs and Maintenance, IT Services.",PC SYSTEMS LIMITED ,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,https://pcsystemstt.com
DIGI DATA SYSTEMS LIMITED,NEW,0,"Voice microphones for computersLEVEL 1 (0 - $100,000.00)",LLTHG104197,"Information Technology communication, Hardware, software consultancy",,,,,,,,,,,sunita.sinanan@digi-data.com,15/05/2023 8:45:36 AM,DIGI DATA SYSTEMS LIMITED,LIMITED LIABILITY,60,"Information Technology communication, Hardware, software consultancy",DIGI DATA SYSTEMS LIMITED,NO,,NO,,NO,,1984,TRINIDAD AND TOBAGO,www.digi-data.com
PREMIUM PRODUCTS LIMITED BLUE MOUNTAIN WATER,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLATT108964,Manufacturing and distributing of purified drinking water.,,,,,,,,,,,karlene@bluemountaintt.com,23/08/2023 12:26:42 PM,PREMIUM PRODUCTS LIMITED BLUE MOUNTAIN WATER,LIMITED LIABILITY,54,Manufacturing and distributing of purified drinking water.,PREMIUM PRODUCTS LIMITED,NO,,NO,,NO,,1993,TRINIDAD AND TOBAGO,www.bluemountaintt.com
WALLABEES DEVELOPMENT COMPANY LTD,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLAIQ116237,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",,#7 Moraldo Street,,,MARAVAL,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8683740448,PRIMARY,superjglobal@gmail.com,08/11/2023 11:01:03 AM,WALLABEES DEVELOPMENT COMPANY LTD,LIMITED LIABILITY,4,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",WALLABEES DEVELOPMENT COMPANY LTD,NO,,NO,,NO,,2013,TRINIDAD AND TOBAGO,
J CHAI TRADING CO LTD,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLWNX101738,"WHOLESALE, RETAIL, CONSTRUCTIONS",J CHAI TRADING CO LTD,120-122 EASTERN MAIN ROAD,,,ARIMA,ARIMA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,11111,8686675471,,JCHAITRADING@GMAIL.COM,07/02/2024 2:50:00 PM,J CHAI TRADING CO LTD,LIMITED LIABILITY,25,"WHOLESALE, RETAIL, CONSTRUCTIONS",J CHAI TRADING CO LTD,NO,,NO,,NO,,1986,TRINIDAD AND TOBAGO,
ACTION MARKETING LIMITED,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLMWY100429,"Sale and distribution of General office stationery, toners/cartridges, office furniture & equipment, grocery supplies (dry goods) and janitorial products.",ACTION MARKETING LIMITED,61 Camden Park,,,COUVA,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,550627,225-4250-2,MAILING,actionmkt.aramjiewan@gmail.com,22/02/2024 10:46:18 AM,ACTION MARKETING LIMITED,LIMITED LIABILITY,19,"Sale and distribution of General office stationery, toners/cartridges, office furniture & equipment, grocery supplies (dry goods) and janitorial products.",ACTION MARKETING LIMITED,NO,NONE,NO,NONE,NO,NO LEGAL QUERIES TO DATE,2000,TRINIDAD AND TOBAGO,
HANSLEY AND GERALD SERVICES LIMITED,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLWWH103676,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",,#123 Mango Avenue ,Santa Rosa Heights,,ARIMA,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,123,18686677205,MAILING,handgservicesltd@hotmail.com,15/05/2024 9:19:17 AM,HANSLEY AND GERALD SERVICES LIMITED,LIMITED LIABILITY,12,"Building Construction and Refurbishment, Painting, Landscaping, Civil Works, Electrical, Welding, Plumbing , Paving , Procurement Services, Etc.",HANSLEY AND GERALD SERVICES LIMITED ,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,
RANCON CONTRACTING COMPANY LIMITED,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLNRO104636,Construction/ Renovations/ Plumbing/ Electrical/ Civil Works ,,#11 LACKPAT ROAD ,,,TUNAPUA,TUNAPUNA/PIARCO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,000000,(868)743-8222,PRIMARY,randybhola@gmail.com,17/06/2024 3:52:13 PM,RANCON CONTRACTING COMPANY LIMITED,LIMITED LIABILITY,6,Construction/ Renovations/ Plumbing/ Electrical/ Civil Works ,RANCON CONTRACTING COMPANY LIMITED ,NO,,NO,,NO,,2010,TRINIDAD AND TOBAGO,NIL
BRILLIANT STAR ENTERPRISE DISTRIBUTOR,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",OTGEI104710,"General store supplies : such as cleaning supplies, stationaries, office merchandise, utensils, fabrics...etc foods and vegetables (perishable and non-perishable)",,"#4 Borro Road, Maracas OId Bay Road Maracas Bay",,,MARACAS BAY,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,868,7738996,PRIMARY,mearagranger@yahoo.com,20/06/2023 12:56:09 PM,BRILLIANT STAR ENTERPRISE DISTRIBUTOR,SOLE PROPRIETORSHIP,1,"General store supplies : such as cleaning supplies, stationaries, office merchandise, utensils, fabrics...etc foods and vegetables (perishable and non-perishable)",BRILLIANT STAR ENTERPRISE DISTRIBUTOR ,NO,N/A,NO,N/A,NO,N/A,2008,TRINIDAD AND TOBAGO,N/A
TOSL ENGINEERING LIMITED,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLPNM101639,Engineering Solutions,,8-10 MAHARAJ AVENUE,,,MARABELLA,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,00000,18686578675,PRIMARY,sales@tosl.com,19/07/2024 3:48:09 PM,TOSL ENGINEERING LIMITED,LIMITED LIABILITY,360,Engineering Solutions,TOSL ENGINEERING LIMITED,NO,N/A,NO,N/A,NO,N/A,1979,TRINIDAD AND TOBAGO,WWW.TOSL.COM
DSM SALES AND MARKETING LIMITED,NEW,0,"Volatile corrosion inhibitor or VCI paperLEVEL 1 (0 - $100,000.00)",LLGBV105267,"GENERAL SUPPLIES, PERSONAL PROTECTIVE EQUIPMENT, INDUSTRIAL SUPPLIES, JANITORIAL SUPPLIES, OILFIELD SUPPLIES, HARDWARE SUPPLIES,TOOLS,MECHANICAL, SUPPLIES,WORKWEAR,LUBRICANTS,EMBROIDERY, PRINTING, SCREEN PRINTING, MANUFACTURERS OF INDUSTRIAL  GARMENT, ETC",DSM SALES AND MARKETING LIMITED,LP 237 IERE VILLAGE,PRINCES TOWN,,PRINCES TOWN,PRINCES TOWN REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,655-2288,MAILING,stein@dsm-tt.com,18/07/2024 10:41:04 AM,DSM SALES AND MARKETING LIMITED,LIMITED LIABILITY,35,"GENERAL SUPPLIES, PERSONAL PROTECTIVE EQUIPMENT, INDUSTRIAL SUPPLIES, JANITORIAL SUPPLIES, OILFIELD SUPPLIES, HARDWARE SUPPLIES,TOOLS,MECHANICAL, SUPPLIES,WORKWEAR,LUBRICANTS,EMBROIDERY, PRINTING, SCREEN PRINTING, MANUFACTURERS OF INDUSTRIAL  GARMENT, ETC",DSM SALES AND MARKETING LIMITED,NO,,NO,,NO,,2006,TRINIDAD AND TOBAGO,www.dsm-tt.com
PERSAD'S HOME IMPROVEMENT STORE LTD,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLUYE108499,"Supplier of Hardware, Household, Automotive Products and Services",PERSAD'S HOME IMPROVEMENT STORE,54 RAMAI TRACE,,,DEBE,PENAL/DEBE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,746-7811,PRIMARY,persadshomestore@gmail.com,31/05/2023 4:21:40 PM,PERSAD'S HOME IMPROVEMENT STORE LTD,LIMITED LIABILITY,15,"Supplier of Hardware, Household, Automotive Products and Services",PERSAD'S HOME IMPROVEMENT STORE LTD,NO,,NO,,NO,,2017,TRINIDAD AND TOBAGO,52 Ramai Trace Debe
MEGA TRADERS LTD ,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",SPURX106982,Custom Made Blinds and Sale of Hardware items.,MEGA TRADERS LTD,"81 CIPERO STREET,",,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,99999,9542537465,PRIMARY,megatradersltd@gmail.com,21/06/2023 5:47:38 PM,MEGA TRADERS LTD ,SOLE PROPRIETORSHIP,13,Custom Made Blinds and Sale of Hardware items.,MEGA TRADERS LTD ,NO,,NO,,NO,,1991,TRINIDAD AND TOBAGO,https://megatradersltd.com/
ISLAND DESIGNS LTD.,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLTGJ106049,Supply of goods and services,,213 Siparia Old Road,,,FYZABAD,SIPARIA BOROUGH CORPORATION,TRINIDAD AND TOBAGO,690224,357 0958,MAILING,islanddesignsltd@gmail.com,26/06/2023 12:33:08 PM,ISLAND DESIGNS LTD.,LIMITED LIABILITY,1,Supply of goods and services,ISLAND DESIGNS LTD.,NO,,NO,,NO,,2001,TRINIDAD AND TOBAGO,
MUSTAPHA MARKETING LIMITED,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLQNS100094,"Import & Distribution of Medical, Janitorial & Industrial Supplies",,,,,,,,,,,riyad@mustaphamarketing.com,19/08/2023 10:40:10 AM,MUSTAPHA MARKETING LIMITED,LIMITED LIABILITY,5,"Import & Distribution of Medical, Janitorial & Industrial Supplies",MUSTAPHA MARKETING LIMITED,YES,,NO,,NO,,2010,TRINIDAD AND TOBAGO,www.mustaphamarketing.com
ALMANDOZ HARDWARE LTD,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLOMS105369,HARDWARE RETAILER,,WILSON ROAD,,,SCARBOROUGH,TOBAGO,TRINIDAD AND TOBAGO,00000,8686392794,PRIMARY,almandoz_hardware@yahoo.com,19/08/2023 9:03:57 PM,ALMANDOZ HARDWARE LTD,LIMITED LIABILITY,23,HARDWARE RETAILER,ALMANDOZ HARDWARE LTD,NO,,NO,,NO,,2000,TRINIDAD AND TOBAGO,www.almandozhardware.com
GOOLCHARAN'S GENERAL HARDWARE LIMITED,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLWIL105076,GENERAL HARDWARE RETAIL,GOOLCHARAN'S GENERAL HARDWARE LIMITED,66 SOUTHERN MAIN ROAD ,,,COUVA,COUVA/TABAQUITE/TALPARO REGIONAL CORPORATION,TRINIDAD AND TOBAGO,550738,636-1846,PRIMARY,gghl@live.com,28/08/2023 3:57:07 PM,GOOLCHARAN'S GENERAL HARDWARE LIMITED,LIMITED LIABILITY,20,GENERAL HARDWARE RETAIL,GOOLCHARAN'S GENERAL HARDWARE LIMITED,NO,,NO,,NO,,2006,TRINIDAD AND TOBAGO,www.goolcharanshardware.com
LIGHTHOUSE LIMITED,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLJRC104812,Supply only of electrical and lighting material,LIGHTHOUSE LIMITED,25 ROYAL ROAD,,,SAN FERNANDO,SAN FERNANDO CITY CORPORATION,TRINIDAD AND TOBAGO,600811,653-3177 ,PRIMARY,perry.hayban@hadcoltd.com,28/09/2023 8:35:47 AM,LIGHTHOUSE LIMITED,LIMITED LIABILITY,50,Supply only of electrical and lighting material,LIGHTHOUSE LIMITED,NO,,YES,HADCO LIMITED (PARENT COMPANY),NO,,2000,TRINIDAD AND TOBAGO,www. lighthousett.com
TWENTY4-SEVEN HARDWARE,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",SPBSB116363,"Supply of Building Materials: Foundation to Finish
Tool Rentals
Contracting services for building homes and renovations ",,Corner King Street and Maitagual Road,,,SAN JUAN,SAN JUAN/LAVENTILLE REGIONAL CORPORATION,TRINIDAD AND TOBAGO,00000,868-689-2296,MAILING,kerry.dollaway@gmail.com,30/10/2023 2:50:21 PM,TWENTY4-SEVEN HARDWARE,SOLE PROPRIETORSHIP,10,"Supply of Building Materials: Foundation to Finish
Tool Rentals
Contracting services for building homes and renovations ",TWENTY4-SEVEN HARDWARE,NO,,NO,,NO,,,,
LIBERTVILLE HARDWARE LIMITED,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLTTI116270,HARDWARE AND CONSTRUCTION MATERIALS SUPPLIER,,,,,,,,,,,libertvillehardwareltd@outlook.com,02/11/2023 11:11:16 AM,LIBERTVILLE HARDWARE LIMITED,LIMITED LIABILITY,8,HARDWARE AND CONSTRUCTION MATERIALS SUPPLIER,LIBERTVILLE HARDWARE LIMITED,NO,,NO,,NO,,2018,TRINIDAD AND TOBAGO,
S.A.G.E. SHIV AGRICULTURE GARDEN ESSENTIALS,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",SPXLK107886,"Agriculture,chemicals,feed for animals,garden utensils ,plants, tools and epuipment. Livestock supplies. Bat nets,syringes,boots raincoats, coveralls, hat, gloves.",,,,,,,,,,,shivirmohammed@gmail.com,03/11/2023 11:29:50 AM,S.A.G.E. SHIV AGRICULTURE GARDEN ESSENTIALS,SOLE PROPRIETORSHIP,1,"Agriculture,chemicals,feed for animals,garden utensils ,plants, tools and epuipment. Livestock supplies. Bat nets,syringes,boots raincoats, coveralls, hat, gloves.",S.A.G.E. SHIV AGRICULTURE GARDEN ESSENTIALS,NO,,NO,,NO,,2020,TRINIDAD AND TOBAGO,
WALLABEES DEVELOPMENT COMPANY LTD,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",LLAIQ116237,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",,#7 Moraldo Street,,,MARAVAL,DIEGO MARTIN BOROUGH CORPORATION,TRINIDAD AND TOBAGO,00000,8683740448,PRIMARY,superjglobal@gmail.com,08/11/2023 11:01:03 AM,WALLABEES DEVELOPMENT COMPANY LTD,LIMITED LIABILITY,4,"Construction, Landscaping, Mechanical, Woodworking, Metal Working, Hygiene, AC Supply and Installation Services",WALLABEES DEVELOPMENT COMPANY LTD,NO,,NO,,NO,,2013,TRINIDAD AND TOBAGO,
DA PROCUREMENT SOLUTIONS ,NEW,0,"Voltage tester screwdriverLEVEL 1 (0 - $100,000.00)",SPWJI104566,Procurement ,,,,,,,,,,,daprocurementsolutions@gmail.com,09/07/2023 3:05:11 PM,DA PROCUREMENT SOLUTIONS ,SOLE PROPRIETORSHIP,1,Procurement ,DA PROCUREMENT SOLUTIONS ,NO,,NO,,NO,,,TRINIDAD AND TOBAGO,
